ID	103post	103pre	104post	104pre	107post	107pre	109post	109pre	111post	111pre	116post	116pre	118post	118pre	119post	119pre	123post	123pre	124post	124pre	127post	127pre	130post	130pre	133post	133pre	138post	138pre	139post	139pre	140post	140pre
12d74cf4397618486147c2db83d5823d	0	0	0	0	0	0	8	13	0	0	3	11	10	0	15	13	4	4	0	0	9	0	0	0	0	21	11	11	0	0	0	0
6e49fc95bd9c127e987ac272cc26cfcf	0	0	0	0	76	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2acc0eeaf11d4e05a0275b4614e23db2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eee3dcf94a2ccb2389036c87bf6f340c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c54bf70908b1db0f88baa5d62cbedb52	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	25	0	0	0	0	0	0	0	0	0	0	0	0
4ed52398918c3276815f4fb4e9b52c01	7	0	0	0	0	0	8	6	0	3	0	0	4	23	4	10	0	0	0	0	0	0	9	5	0	0	3	4	7	4	10	7
1c641acbfb592b9fee2d900cdd6ea775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04452c83340ecb71a3c1bea0251bbd75	8	0	74	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
3c6560c1cf47619097ab1d6436b03f55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1f8393943d8b6789840e53f9ba7f664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
592b19b91910c7d13ead34e0a6e2c194	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8cccf951be769aac9817e6cfad41b7bb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	11	9	0	0	0	0	0	0	0	0
230b40d1516bb280a9485644172678ab	0	0	0	0	0	48	0	0	0	17	0	0	33	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
1676951ab7cce45528ff3b84ab7322b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	52	0	0	0	0	0	0	0	0	0	0	0	0
8c91c06c5f265a17b3a56ed458505830	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
744aee5ea12daecbc79ee5af40a7c59c	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
05131eda47202ff9fac2775b1cd653e8	0	0	83	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
864ffcac0b63f919924d35095f0cedcd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	17	0	0	0	0	0	0	38	10
c2b091f3a453f33158ed70bd52bb9278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc7ef4546f729a4a7b606b47d4df78de	0	0	0	0	0	0	0	0	16	21	0	0	0	0	0	0	0	0	18	43	0	0	0	0	0	0	0	0	0	0	0	0
66dd8a666224f8638a78fee4e5655695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
793b874082543d7b4a5b3fa061e631e1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
349bab8da37ab503ccfc4de9df2f71ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2fa07353d82d0d36b91e41bc3b240516	0	0	17	22	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	9
9820ac465022b46ee55e22b95bde4289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2eced03d4224ef6cd48645bafad4721f	30	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	12	34	0	0	0	0	0	0	0	0	0	0
d646b9a5f1222134c135d4b5d5b6f287	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
7033d30d88ff10e71b933f7d2c3fdb1a	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8d29a4b0e2aa4632d98d3b302ea9ef31	0	0	0	0	4	2	17	0	0	5	0	0	0	0	0	0	0	0	0	0	4	3	4	0	0	0	0	0	0	0	0	0
47fb23ca1df65735ae426560ee5d90cd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b7f64d28d49eb2d41b541aa1eb87168d	0	0	0	0	0	0	0	0	30	0	7	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	14
b8e9a09aa38f36d19cd4d57f156637ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7c0221b4255a94fc2da4b51b79ebb189	7	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	23	37	0	0	0	0	0	0	0	0	0	0
c49b96326cfed7b8d97d7ce6e9a039c7	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8279447c860fbdabb7ab1700cf3ec8dc	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	22	0	0	0	0	0	0	0	0	0	24	24
